date,day,steps
2016-07-23,Saturday,2695
2016-07-24,Sunday,9774
2016-07-25,Monday,4976
2016-07-26,Tuesday,9222
2016-07-27,Wednesday,5615
2016-07-28,Thursday,4670
2016-07-29,Friday,7561
2016-07-30,Saturday,4132
2016-07-31,Sunday,3348
2016-08-01,Monday,7318
2016-08-02,Tuesday,14020
2016-08-03,Wednesday,8748
2016-08-04,Thursday,4660
2016-08-05,Friday,6034
2016-08-06,Saturday,12811
2016-08-07,Sunday,9866
2016-08-08,Monday,5215
2016-08-09,Tuesday,9201
2016-08-10,Wednesday,5774
2016-08-11,Thursday,5644
2016-08-12,Friday,7809
2016-08-13,Saturday,6310
2016-08-14,Sunday,4812
2016-08-15,Monday,4902
2016-08-16,Tuesday,8328
2016-08-17,Wednesday,5017
2016-08-18,Thursday,4573
2016-08-19,Friday,6804
2016-08-20,Saturday,9409
2016-08-21,Sunday,1200
2016-08-22,Monday,9958
2016-08-23,Tuesday,148
2016-08-24,Wednesday,11380
2016-08-25,Thursday,5781
2016-08-26,Friday,8213
2016-08-27,Saturday,16934
2016-08-28,Sunday,19774
2016-08-29,Monday,2527
2016-08-30,Tuesday,562
2016-08-31,Wednesday,4445
2016-09-01,Thursday,10122
2016-09-02,Friday,13774
2016-09-03,Saturday,9142
2016-09-04,Sunday,14050
2016-09-05,Monday,15911
2016-09-06,Tuesday,10047
2016-09-07,Wednesday,8356
2016-09-08,Thursday,8511
2016-09-09,Friday,8855
2016-09-10,Saturday,11495
2016-09-11,Sunday,15293
2016-09-12,Monday,5786
2016-09-13,Tuesday,12202
2016-09-14,Wednesday,7654
2016-09-15,Thursday,6908
2016-09-16,Friday,7431
2016-09-17,Saturday,14876
2016-09-18,Sunday,16231
2016-09-19,Monday,6352
2016-09-20,Tuesday,4772
2016-09-21,Wednesday,6191
2016-09-22,Thursday,7185
2016-09-23,Friday,5893
2016-09-24,Saturday,4550
2016-09-25,Sunday,8569
2016-09-26,Monday,3199
2016-09-27,Tuesday,7404
2016-09-28,Wednesday,7609
2016-09-29,Thursday,8333
2016-09-30,Friday,7252
2016-10-01,Saturday,10302
2016-10-02,Sunday,504
2016-10-03,Monday,5363
2016-10-04,Tuesday,3837
2016-10-05,Wednesday,9045
2016-10-06,Thursday,5504
2016-10-07,Friday,8582
2016-10-08,Saturday,10345
2016-10-09,Sunday,3258
2016-10-10,Monday,5678
2016-10-11,Tuesday,4729
2016-10-12,Wednesday,3845
2016-10-13,Thursday,5482
2016-10-14,Friday,8729
2016-10-15,Saturday,9086
2016-10-16,Sunday,7323
2016-10-17,Monday,3442
2016-10-18,Tuesday,3603
2016-10-19,Wednesday,4397
2016-10-20,Thursday,4305
2016-10-21,Friday,7001
2016-10-22,Saturday,10173
2016-10-23,Sunday,11678
2016-10-24,Monday,1140
